SKU,Cost (c),Lead time (t),Demand rate (m),New d. rates (m),demand 1,demand 2,demand 3,demand 4,demand 5,demand 6,demand 7,demand 8,demand 9,demand 10,demand 11,demand 12,demand 13,demand 14,demand 15,demand 16,demand 17,demand 18,demand 19,demand 20,demand 21,demand 22,demand 23,demand 24,demand 25,demand 26,demand 27,demand 28,demand 29,demand 30,demand 31,demand 32,demand 33,demand 34,demand 35,demand 36
1,590,0.1,18,17.416666666666668,10,20,16,23,25,20,14,20,10,18,14,17,18,19,18,14,18,16,14,20,24,20,25,13,21,30,15,11,16,16,18,22,15,12,13,12
2,3800,0.4,3,3.861111111111111,4,5,7,5,3,4,2,4,5,5,4,6,3,1,3,6,4,6,2,6,4,3,3,3,2,4,2,4,7,3,5,3,3,2,4,2
3,3300,0.3,4,4.222222222222222,3,4,5,6,5,2,4,3,7,4,5,2,4,6,7,7,4,0,6,5,4,1,6,1,4,8,4,1,9,3,4,2,0,8,6,2
4,960,0.2,11,13.027777777777779,12,21,15,22,6,12,13,15,9,13,17,15,6,18,14,15,12,10,18,8,14,5,16,15,19,9,12,9,18,12,10,5,8,12,20,14
5,5200,0.6,3,3.9444444444444446,8,3,4,9,4,6,1,2,4,2,6,3,6,0,5,4,3,2,5,5,4,2,3,2,7,5,4,6,6,1,2,1,6,1,4,6
6,760,0.1,14,15.88888888888889,12,14,16,18,24,10,21,14,15,16,13,20,17,18,22,19,16,8,13,17,10,10,14,16,15,21,15,14,20,10,24,11,17,18,15,19
7,8400,0.9,3,3.888888888888889,4,5,3,0,5,7,5,2,3,6,4,9,6,0,1,1,6,2,1,7,3,4,6,7,5,4,3,5,2,1,3,5,2,5,3,5
8,680,0.1,16,17.11111111111111,20,25,16,12,16,26,15,11,17,23,16,18,17,22,17,10,25,21,14,24,16,20,18,13,11,15,11,18,19,17,11,16,14,21,14,17
9,1000,0.1,11,10.944444444444445,11,9,3,16,13,8,9,12,17,11,11,11,14,18,4,12,18,10,8,12,1,14,12,5,17,5,15,11,9,11,12,12,4,15,15,9
10,7800,0.9,2,3.25,1,1,4,0,1,2,2,3,2,4,2,4,6,2,3,4,3,6,3,5,1,1,3,4,4,4,3,0,5,7,2,4,2,7,8,4
11,760,0.2,14,15.61111111111111,15,12,12,15,13,24,10,24,19,14,15,21,21,8,10,16,14,14,13,11,17,8,16,25,15,14,17,21,17,12,21,15,17,12,19,15
12,130,0.1,38,37.94444444444444,32,34,49,43,38,39,34,33,28,37,41,37,38,43,44,43,34,31,37,40,28,39,33,37,38,49,30,43,45,41,39,36,35,38,43,37
13,3900,0.4,3,4.0,2,8,5,3,4,5,4,6,5,3,3,5,7,8,5,3,10,3,4,2,3,1,2,3,6,2,2,4,4,5,1,2,5,4,1,4
14,6700,0.7,2,3.111111111111111,0,0,3,3,1,0,1,2,7,3,6,7,1,8,5,0,3,3,2,0,4,7,3,4,4,6,6,7,3,3,1,4,0,1,2,2
15,9500,1.0,2,3.6666666666666665,2,5,8,1,3,3,1,4,5,2,2,4,0,2,5,9,4,2,4,4,0,6,3,2,2,9,0,2,2,10,4,10,2,4,3,3
16,870,0.1,12,13.25,16,16,20,23,11,13,12,7,11,10,6,15,14,13,6,15,13,17,18,13,12,11,11,14,12,11,21,12,8,11,16,16,15,11,13,14
