SKU(i),S_A,S_B,S_C,c,m,t,c_h,c_s,t_s
1,11,12,14,800,11,0.3,40,160,0.006
2,10,10,6,4100,7,0.6,205,820,0.012
3,12,14,13,920,11,0.35,46,184,0.006
4,4,1,5,12800,2,1.8,640,2560,0.04
5,7,4,6,6500,5,1.1,325,1300,0.02
6,12,10,10,900,10,0.4,45,180,0.01
7,13,10,9,2000,9,0.5,100,400,0.01
8,7,8,7,5600,6,0.9,280,1120,0.02
9,3,3,2,13100,1,1.6,655,2620,0.02
10,11,7,10,3500,8,0.75,175,700,0.002
11,16,13,14,550,12,0.25,27.5,110,0.5
12,7,4,5,9700,3,1.4,485,1940,0.03
13,15,16,12,430,13,0.15,21.5,86,0.004
14,5,6,6,8600,4,1.3,430,1720,0.03
15,14,15,13,690,12,0.2,34.5,138,0.05
